Loading PyTorch model from ../data/ultralitics/yolo26x.pt...
Extracted 1092 tensors.
Initializing GGUF writer for architecture 'yolo'...
Writing tensors...
  Added tensor: model.2.m.1.cv2.bn.bias | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.cv2.bn.running_mean | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.cv2.bn.running_var | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.cv2.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.2.m.1.cv3.conv.weight | shape: (96, 96, 1, 1) | dtype: float16
  Added tensor: model.2.m.1.cv3.bn.weight | shape: (96,) | dtype: float16
  Added tensor: model.2.m.1.cv3.bn.bias | shape: (96,) | dtype: float16
  Added tensor: model.2.m.1.cv3.bn.running_mean | shape: (96,) | dtype: float16
  Added tensor: model.2.m.1.cv3.bn.running_var | shape: (96,) | dtype: float16
  Added tensor: model.2.m.1.cv3.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.2.m.1.m.0.cv1.conv.weight | shape: (48, 48, 3, 3) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv1.bn.weight | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv1.bn.bias | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv1.bn.running_mean | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv1.bn.running_var | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv1.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.2.m.1.m.0.cv2.conv.weight | shape: (48, 48, 3, 3) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv2.bn.weight | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv2.bn.bias | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv2.bn.running_mean | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv2.bn.running_var | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv2.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.2.m.1.m.1.cv1.conv.weight | shape: (48, 48, 3, 3) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv1.bn.weight | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv1.bn.bias | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv1.bn.running_mean | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv1.bn.running_var | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv1.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.2.m.1.m.1.cv2.conv.weight | shape: (48, 48, 3, 3) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv2.bn.weight | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv2.bn.bias | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv2.bn.running_mean | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv2.bn.running_var | shape: (48,) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv2.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.3.conv.weight | shape: (384, 384, 3, 3) | dtype: float16
  Added tensor: model.3.bn.weight | shape: (384,) | dtype: float16
  Added tensor: model.3.bn.bias | shape: (384,) | dtype: float16
  Added tensor: model.3.bn.running_mean | shape: (384,) | dtype: float16
  Added tensor: model.3.bn.running_var | shape: (384,) | dtype: float16
  Added tensor: model.3.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.4.cv1.conv.weight | shape: (384, 384, 1, 1) | dtype: float16
  Added tensor: model.4.cv1.bn.weight | shape: (384,) | dtype: float16
  Added tensor: model.4.cv1.bn.bias | shape: (384,) | dtype: float16
  Added tensor: model.4.cv1.bn.running_mean | shape: (384,) | dtype: float16
  Added tensor: model.4.cv1.bn.running_var | shape: (384,) | dtype: float16
  Added tensor: model.4.cv1.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.4.cv2.conv.weight | shape: (768, 768, 1, 1) | dtype: float16
  Added tensor: model.4.cv2.bn.weight | shape: (768,) | dtype: float16
  Added tensor: model.4.cv2.bn.bias | shape: (768,) | dtype: float16
  Added tensor: model.4.cv2.bn.running_mean | shape: (768,) | dtype: float16
  Added tensor: model.4.cv2.bn.running_var | shape: (768,) | dtype: float16
  Added tensor: model.4.cv2.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.4.m.0.cv1.conv.weight | shape: (96, 192, 1, 1) | dtype: float16
  Added tensor: model.4.m.0.cv1.bn.weight | shape: (96,) | dtype: float16
  Added tensor: model.4.m.0.cv1.bn.bias | shape: (96,) | dtype: float16
  Added tensor: model.4.m.0.cv1.bn.running_mean | shape: (96,) | dtype: float16
  Added tensor: model.4.m.0.cv1.bn.running_var | shape: (96,) | dtype: float16
  Added tensor: model.4.m.0.cv1.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.4.m.0.cv2.conv.weight | shape: (96, 192, 1, 1) | dtype: float16
  Added tensor: model.4.m.0.cv2.bn.weight | shape: (96,) | dtype: float16
  Added tensor: model.4.m.0.cv2.bn.bias | shape: (96,) | dtype: float16
  Added tensor: model.4.m.0.cv2.bn.running_mean | shape: (96,) | dtype: float16
